,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
5328,0.43,0.982,5,-3.779,1,0.088,3.38e-06,0.701,0.934,0.223,111.942,310000,4
5329,0.283,0.745,9,-5.658,1,0.0782,0.000713,0.0883,0.983,0.438,69.417,348573,4
5330,0.682,0.902,0,-6.569,1,0.0372,0.0322,0.0083,0.227,0.9,101.119,302733,4
5331,0.486,0.352,9,-7.775,0,0.0272,0.707,0.0,0.115,0.201,137.679,199920,4
5332,0.57,0.723,7,-6.712,1,0.0461,0.0802,1.28e-06,0.367,0.588,129.303,213589,4
5333,0.354,0.936,8,-4.428,1,0.0513,2.5e-06,0.729,0.819,0.675,137.702,235986,4
5334,0.684,0.321,0,-14.424,1,0.0302,0.436,0.000143,0.115,0.681,110.637,116533,4
5335,0.337,0.622,9,-9.365,0,0.0416,0.485,0.848,0.114,0.576,205.805,116520,3
5336,0.58,0.693,7,-12.706,1,0.0539,0.185,2.33e-05,0.428,0.803,120.745,236667,4
5337,0.516,0.995,11,-2.429,1,0.0393,7.29e-05,1.89e-05,0.118,0.851,131.433,135800,4
5338,0.439,0.614,7,-7.049,1,0.0391,5.75e-05,0.695,0.062,0.357,183.853,227987,4
5339,0.536,0.864,6,-9.416,1,0.0336,0.559,0.000663,0.705,0.96,107.009,128526,4
5340,0.256,0.795,1,-6.325,1,0.0431,0.000408,1.04e-05,0.111,0.521,78.357,310217,4
5341,0.494,0.958,6,-4.347,0,0.0546,0.000141,0.046,0.417,0.458,141.996,209575,4
5342,0.264,0.112,6,-20.88,1,0.04,0.967,0.96,0.138,0.643,79.842,25082,5
5343,0.171,0.297,8,-15.771,0,0.0378,0.18,0.913,0.368,0.443,122.236,36107,5
5344,0.52,0.676,9,-5.721,1,0.0343,0.642,2.41e-06,0.22,0.556,139.929,210250,4
5345,0.434,0.897,10,-4.429,1,0.043,1.13e-05,0.00133,0.142,0.832,169.988,180320,4
5346,0.284,0.894,10,-11.289,0,0.0603,0.000211,0.0068,0.993,0.526,99.11,311000,4
5347,0.216,0.992,0,-5.479,0,0.233,0.000184,0.838,0.921,0.0967,94.785,235666,4
5348,0.765,0.438,4,-11.582,1,0.0358,0.715,0.0,0.0837,0.948,96.359,142093,4
5349,0.359,0.814,11,-6.205,1,0.0319,0.0133,0.255,0.139,0.183,88.877,561787,4
5350,0.441,0.882,7,-7.363,1,0.044,0.0195,0.00684,0.15,0.418,83.371,151573,4
5351,0.539,0.962,9,-4.459,1,0.0433,0.000307,0.000154,0.757,0.557,132.797,242507,4
5352,0.652,0.864,7,-4.108,1,0.0325,0.00138,0.0433,0.0371,0.38,122.026,257427,4
5353,0.356,0.982,4,-1.574,0,0.112,0.713,0.00145,0.941,0.299,95.754,110093,4
5354,0.692,0.799,1,-7.924,1,0.164,0.388,0.0,0.301,0.549,97.978,199667,4
5355,0.291,0.785,2,-3.372,1,0.0612,0.0143,0.000102,0.087,0.395,141.516,326520,4
5356,0.591,0.997,0,-4.282,1,0.581,0.457,0.0,0.264,0.193,91.158,84227,4
5357,0.423,0.733,0,-5.237,1,0.0381,0.00022,0.0,0.581,0.602,160.09,165068,4
5358,0.457,0.874,0,-3.059,0,0.0482,0.0111,0.0,0.0797,0.423,114.797,264800,4
5359,0.332,0.958,10,-3.368,0,0.128,0.00348,0.0,0.101,0.443,119.919,225173,4
5360,0.522,0.845,8,-4.318,1,0.0579,0.000138,4.68e-06,0.326,0.792,158.141,199832,4
5361,0.62,0.64,4,-12.479,1,0.0466,0.026,0.0,0.255,0.702,124.051,227760,4
5362,0.433,0.946,5,-9.62,0,0.0848,1e-05,0.747,0.0469,0.207,84.096,237973,4
5363,0.582,0.819,9,-4.388,1,0.1,0.238,0.0,0.0831,0.876,138.083,211747,4
5364,0.433,0.823,0,-2.155,1,0.042,0.14,6.51e-05,0.119,0.294,119.88,287667,4
5365,0.632,0.908,8,-3.511,1,0.0458,0.00762,0.000172,0.167,0.764,110.024,202467,4
5366,0.534,0.971,8,-4.074,0,0.0777,0.00833,0.00496,0.276,0.576,125.051,238720,4
5367,0.576,0.664,0,-9.765,1,0.0257,0.000635,0.119,0.874,0.261,106.431,274527,4
5368,0.526,0.884,9,-6.57,1,0.0418,0.000304,0.821,0.134,0.393,131.118,162879,4
5369,0.442,0.64,6,-8.622,1,0.0471,0.14,0.000931,0.109,0.16,75.015,249493,4
5370,0.27,0.983,1,-5.522,1,0.206,0.313,0.00653,0.283,0.102,162.709,196600,4
5371,0.32,0.931,6,-8.883,0,0.103,0.000187,0.000148,0.737,0.16,132.763,418677,4
5372,0.484,0.954,11,-4.73,0,0.0608,0.00176,9.15e-05,0.983,0.266,98.973,263080,4
5373,0.304,0.402,2,-15.953,0,0.0482,0.147,0.0084,0.961,0.44,137.575,221270,4
5374,0.433,0.921,7,-4.256,1,0.0493,0.000123,0.00116,0.45,0.19,128.127,352000,4
5375,0.374,0.925,9,-6.444,1,0.09,0.000203,5.02e-05,0.981,0.369,101.287,371440,4
5376,0.435,0.965,7,-4.625,1,0.0779,0.000152,0.135,0.267,0.526,176.088,228933,4
5377,0.426,0.487,0,-8.664,1,0.0449,0.598,8.23e-06,0.138,0.566,149.889,246710,4
5378,0.611,0.572,9,-6.871,1,0.0827,0.565,0.431,0.194,0.519,94.874,95120,4
5379,0.606,0.816,6,-10.015,0,0.0941,0.0157,0.663,0.242,0.61,118.245,221160,4
5380,0.471,0.964,2,-3.293,1,0.0467,0.000179,0.0,0.541,0.847,156.014,256627,4
5381,0.282,0.869,2,-8.32,1,0.0833,0.000799,0.0668,0.514,0.281,164.38,177733,4
5382,0.315,0.937,7,-4.813,0,0.156,0.00268,0.000302,0.117,0.244,176.013,197307,4
5383,0.361,0.911,9,-2.853,1,0.0405,6.06e-05,0.00752,0.0891,0.643,103.999,283787,4
5384,0.547,0.624,9,-6.829,1,0.0269,0.0209,0.0189,0.366,0.108,97.505,364840,3
5385,0.106,0.896,9,-7.088,1,0.127,0.214,0.0,0.931,0.334,202.692,222075,4
5386,0.589,0.985,10,-2.295,1,0.241,0.119,2.29e-06,0.294,0.239,93.962,224686,4
5387,0.584,0.591,7,-6.247,1,0.0228,0.563,0.00583,0.266,0.54,94.032,196320,4
5388,0.353,0.506,2,-9.556,0,0.0342,0.546,3.05e-05,0.173,0.285,101.436,247573,4
5389,0.569,0.928,4,-6.465,1,0.0392,0.0583,0.00483,0.347,0.936,124.326,211760,4
5390,0.292,0.893,4,-8.354,1,0.115,0.00804,0.0,0.468,0.374,99.751,196320,4
5391,0.309,0.686,2,-5.197,0,0.0284,0.0152,7.56e-05,0.175,0.302,176.011,358413,3
5392,0.706,0.81,2,-5.133,1,0.0419,0.00387,0.0,0.504,0.79,110.918,173800,4
5393,0.613,0.971,9,-3.872,0,0.0297,2.07e-05,0.0142,0.042,0.96,125.93,162000,4
5394,0.656,0.973,7,-3.479,1,0.0367,0.232,0.19,0.137,0.974,135.903,217707,4
5395,0.376,0.896,2,-4.065,1,0.0395,0.000452,0.0,0.194,0.472,174.379,258773,4
5396,0.508,0.941,1,-4.061,0,0.0701,0.000434,0.0242,0.293,0.564,75.013,168493,4
5397,0.115,0.957,5,-8.679,1,0.092,0.284,0.691,0.97,0.104,151.87,197349,4
5398,0.771,0.483,11,-11.341,1,0.0429,0.569,0.0873,0.683,0.502,110.622,178413,4
5399,0.388,0.987,9,-3.972,1,0.255,0.0904,0.0411,0.988,0.246,144.367,258573,4
5400,0.284,0.95,9,-5.585,0,0.0805,1.16e-05,0.0108,0.207,0.309,125.553,95295,4
5401,0.448,0.946,4,-4.634,0,0.175,0.00227,0.0,0.305,0.277,131.041,327787,4
5402,0.263,0.895,7,-3.409,1,0.0601,0.192,0.000256,0.966,0.544,140.363,298080,4
5403,0.627,0.872,11,-4.388,0,0.158,0.00566,0.0,0.522,0.548,93.728,291800,4
