song_id,song_name,artist_name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
3xKsPtA5XG91Zlh0SyycmM,Come On Eileen,Dexys Midnight Runners,0.41,0.874,0,-4.286,1,0.0907,0.197,0,0.0843,0.824,107.08,205933,4,1
4W4wYHtsrgDiivRASVOINL,Love Shack,The B-52's,0.701,0.803,5,-6.786,0,0.0545,0.0544,1.54e-06,0.7,0.903,133.608,320680,4,1
58mFu3oIpBa0HLNeJIxsw3,Heaven Is A Place On Earth,Belinda Carlisle,0.64,0.81,4,-10.19,1,0.033,0.031,2.22e-06,0.0492,0.804,122.868,247293,4,1
2sCl0FFOzZSmYZs90zOpd1,Cups (Pitch Perfect’s “When I’m Gone”) - Pop Version,Anna Kendrick,0.887,0.441,0,-8.98,1,0.114,0.0514,0.00667,0.0338,0.715,129.908,126880,4,1
0lzpfrTARexLFXEACKSXTh,I'm Still Standing,Elton John,0.489,0.927,10,-6.298,0,0.17,0.455,0.00165,0.305,0.79,177.354,181787,4,1
62bOmKYxYg7dhrC6gH9vFn,Bye Bye Bye,*NSYNC,0.61,0.926,8,-4.843,0,0.0479,0.031,0.0012,0.0821,0.861,172.638,200400,4,1
27L8sESb3KR79asDUBu8nW,Stacy's Mom,Fountains Of Wayne,0.774,0.75,11,-4.927,0,0.0412,0.00207,1.78e-05,0.0808,0.927,118.015,197987,4,1
0lnxrQAd9ZxbhBBe7d8FO8,MMMBop,Hanson,0.683,0.937,9,-6.335,1,0.0449,0.00481,0.0046,0.07,0.619,104.872,268653,4,1
66S14BkJDxgkYxLl5DCqOz,I'm Gonna Be (500 Miles),The Proclaimers,0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,219467,4,1
4y1LsJpmMti1PfRQV9AWWe,Girls Just Want to Have Fun,Cyndi Lauper,0.71,0.799,6,-4.897,1,0.0328,0.22,0.000602,0.349,0.725,120.372,238267,4,1
4vp2J1l5RD4gMZwGFLfRAu,I Gotta Feeling,Black Eyed Peas,0.743,0.766,0,-6.375,1,0.0265,0.0873,0,0.509,0.61,127.96,289133,4,1
00Mb3DuaIH1kjrwOku9CGU,Sk8er Boi,Avril Lavigne,0.487,0.9,0,-4.417,1,0.0482,6.79e-05,0,0.358,0.484,149.937,204000,4,1
2AogRMqARWyUP7VQ3gmSoY,Can't Fight The Moonlight,LeAnn Rimes,0.628,0.834,6,-6.341,0,0.0497,0.403,0,0.051,0.626,97.865,215507,4,1
3cHyrEgdyYRjgJKSOiOtcS,Timber (feat. Ke$ha),Pitbull and Kesha,0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,204160,4,1
2goLsvvODILDzeeiT4dAoR,Believe,Cher,0.652,0.917,6,-6.72,1,0.0548,0.0082,0,0.0509,0.459,132.975,239027,4,1
4hq0S6wznq7SHDyMOFXL9i,Tumbling Dice,The Rolling Stones,0.615,0.91,11,-4.248,1,0.0347,0.5,0.511,0.281,0.77,111.013,226333,4,1
3uz0O62HqYoyRiWZjS61KK,Detroit Rock City,KISS,0.479,0.847,0,-11.036,0,0.0984,0.00884,0.000206,0.144,0.317,90.654,228560,4,1
6mFkJmJqdDVQ1REhVfGgd1,Wish You Were Here,Pink Floyd,0.481,0.262,7,-15.73,1,0.0414,0.735,0.0114,0.832,0.375,122.861,334744,4,1
5ghIJDpPoe3CfHMGu71E6T,Smells Like Teen Spirit,Nirvana,0.502,0.912,1,-4.556,1,0.0564,2.55e-05,0.000173,0.106,0.72,116.761,301920,4,1
3YBZIN3rekqsKxbJc9FZko,Paradise City,Guns N' Roses,0.273,0.952,11,-8.762,1,0.0843,0.0169,0.0111,0.142,0.472,100.271,405640,4,1
57JVGBtBLCfHw2muk5416J,Another One Bites The Dust - Remastered 2011,Queen,0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,214653,4,1
2zYzyRzz6pRmhPzyfMEC8s,Highway to Hell,AC/DC,0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,208400,4,1
2Cdvbe2G4hZsnhNMKyGrie,I Love Rock 'N Roll,Joan Jett & The Blackhearts,0.535,0.716,4,-5.025,1,0.0431,0.326,0,0.659,0.901,94.379,175173,4,1
0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,Led Zeppelin,0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,333893,4,2
70LcF31zb1H0PyJoS1Sx1r,Creep,Radiohead,0.515,0.43,7,-9.935,1,0.0372,0.0097,0.000133,0.129,0.104,91.844,238640,4,1
1nFtiJxYdhtFfFtfXBv06s,Something In The Way,Nirvana,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,232147,4,3
